index,WeekDay,B365H,B365D,B365A,margin,UPH
0,0,1.57,3.9,7.5,0.974007381,0.57
1,3,1.9,3.6,4.5,0.9743589744,0.9
2,3,2.5,3.4,3,0.9732824427,-1
3,3,6.5,4,1.61,0.9756438644,-1
4,3,3.9,3.5,2.04,0.9686912962,-1
5,3,2.37,3.2,3.4,0.9722343715,1.37
6,3,2.37,3.3,3.3,0.972761194,-1
7,5,4,3.8,1.95,0.9746793818,-1
8,5,1.25,6.5,14,0.9753483387,0.25
9,5,1.85,3.5,5,0.9744168548,-1
10,5,3.25,3.1,2.54,0.9765875439,-1
11,5,1.8,4,4.5,0.972972973,0.8
12,5,1.9,3.5,4.75,0.9779411765,0.9
13,5,2.04,3.5,3.9,0.9686912962,1.04
14,5,1.28,6,12,0.9696969697,0.28
15,5,2.1,3.6,3.7,0.9763350785,-1
16,6,5.5,3.6,1.75,0.9699090273,4.5
17,6,2.45,3.1,3.4,0.9757415454,-1
18,6,1.1,13,26,0.976109215,0.1
19,0,7,5,1.44,0.9640397858,-1
20,5,1.36,5.5,9,0.9725512858,0.36
21,5,2.62,3.6,2.75,0.9774277424,-1
22,5,2.37,3,3.7,0.975091738,-1
23,5,1.16,8.5,19,0.9686659772,0.16
24,5,2.45,3.2,3.25,0.9724262952,-1
25,5,11,6.5,1.28,0.9746538871,-1
26,6,2,3.4,4.33,0.9755483401,1
27,6,5.75,4,1.66,0.9743524308,-1
28,6,2.6,3.25,3,0.975,1.6
29,0,2.62,3.3,2.9,0.9713101418,-1
30,1,2.3,3.4,3.4,0.9775,-1
31,1,1.3,6,11,0.9738933031,0.3
32,1,2,3.5,4.2,0.976744186,-1
33,1,1.53,4.2,7.5,0.9755875387,-1
34,1,7.5,5,1.44,0.972972973,-1
35,1,1.11,11,26,0.9706179105,0.11
36,1,2.6,3.4,2.87,0.9735533384,-1
37,4,6,3.75,1.7,0.9788867562,-1
38,4,6.5,4.33,1.57,0.9787266795,-1
39,4,5.5,4.2,1.64,0.9711853979,4.5
